,,,,,,,,,,,,,,,,,,,,,
,日付,レース,枠番,登録番号,全国勝率,全国2連,全国3連,当地勝率,当地2連,当地3連,モーター2連,モーター3連,コース1_平均着順,コース2_平均着順,コース3_平均着順,コース4_平均着順,コース5_平均着順,コース6_平均着順,展示タイム,着順,3連単払戻金
,20260215,2,4,4895,5.55,36.47,54.12,4.11,11.11,22.22,44.25,62.64,1.0,4.0,2.5,,3.0,,6.88,6,"¥1,320"
,20260215,2,5,4467,6.5,47.32,68.75,3.14,14.29,14.29,35.59,49.72,2.0,3.0,4.0,4.5,6.0,4.5,6.84,3,"¥1,320"
,20260215,2,6,4654,6.14,43.52,62.04,6.51,50.49,71.84,35.63,50.0,2.0,5.0,2.0,5.5,3.0,4.0,6.81,5,"¥1,320"
,20260215,3,1,4635,5.13,36.11,47.22,4.2,30.0,35.0,42.53,60.92,1.0,3.0,1.0,6.0,4.5,5.0,6.79,1,¥730
,20260215,3,2,3842,5.21,31.34,47.76,5.47,41.18,58.82,30.81,50.58,6.0,2.0,4.0,5.5,5.0,5.0,6.85,6,¥730
,20260215,3,3,4410,5.63,37.04,53.09,5.35,34.62,57.69,32.54,43.79,1.0,3.0,3.5,4.0,3.0,2.0,6.81,2,¥730
,20260215,3,4,4700,6.6,50.77,75.38,7.67,66.67,100.0,29.07,51.74,1.0,2.0,2.0,3.5,4.5,6.0,6.82,3,¥730
,20260215,3,5,3505,5.58,36.11,52.78,4.23,19.23,34.62,46.02,66.48,1.0,2.0,4.0,3.0,5.0,5.0,6.81,5,¥730
,20260215,3,6,4049,6.14,36.11,61.11,5.18,40.91,40.91,38.76,54.49,1.0,4.5,2.5,4.5,6.0,,6.85,4,¥730
,20260215,4,1,5095,5.78,33.77,61.04,5.1,25.0,55.0,38.98,58.76,1.0,2.0,3.0,4.5,,3.0,6.81,1,"¥1,930"
,20260215,4,2,3769,5.17,25.0,54.55,0.0,0.0,0.0,33.14,53.49,4.0,3.0,4.0,3.0,3.0,4.0,6.88,4,"¥1,930"
,20260215,4,3,4803,4.0,15.79,32.89,0.0,0.0,0.0,29.82,45.03,4.0,5.0,4.0,4.0,6.0,4.5,6.85,5,"¥1,930"
,20260215,4,4,4589,4.94,33.33,41.67,0.0,0.0,0.0,21.6,35.8,1.0,3.0,5.0,4.0,5.33,,6.80,2,"¥1,930"
